area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,qtrly_estabs,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage,lq_disclosure_code,lq_qtrly_estabs,lq_month1_emplvl,lq_month2_emplvl,lq_month3_emplvl,lq_total_qtrly_wages,lq_taxable_qtrly_wages,lq_qtrly_contributions,lq_avg_wkly_wage,oty_disclosure_code,oty_qtrly_estabs_chg,oty_qtrly_estabs_pct_chg,oty_month1_emplvl_chg,oty_month1_emplvl_pct_chg,oty_month2_emplvl_chg,oty_month2_emplvl_pct_chg,oty_month3_emplvl_chg,oty_month3_emplvl_pct_chg,oty_total_qtrly_wages_chg,oty_total_qtrly_wages_pct_chg,oty_taxable_qtrly_wages_chg,oty_taxable_qtrly_wages_pct_chg,oty_qtrly_contributions_chg,oty_qtrly_contributions_pct_chg,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg
1000,1,1023,53,0,2020,4,,18,136,142,146,3255664,0,0,1772,,1.85,0.8,0.83,0.85,0.71,0,0,0.85,,0,0,-1,-0.7,2,1.4,11,8.1,41752,1.3,0,0,0,0,-28,-1.6
1000,2,1023,53,0,2020,4,N,2,0,0,0,0,0,0,0,N,1.37,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,3,1023,53,0,2020,4,,133,1677,1675,1679,22571083,466753,4858,1035,,5.5,2.79,2.74,2.76,2.87,1.11,1.81,1.04,,-1,-0.7,-46,-2.7,-52,-3,-52,-3,2554451,12.8,100770,27.5,1064,28,143,16
1000,5,1023,53,0,2020,4,,14092,96165,95753,95065,1970245660,62202613,966314,1584,,1.16,0.85,0.84,0.83,0.75,0.75,0.92,0.89,,364,2.7,297,0.3,-169,-0.2,-958,-1,213222335,12.1,1215500,2,154025,19,175,12.4
1001,3,1023,73,0,2020,4,N,1,0,0,0,0,0,0,0,N,5.99,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,5,1023,73,0,2020,4,,120,399,393,401,5675563,290647,3720,1098,,1.43,0.62,0.61,0.63,0.48,0.71,0.69,0.77,,1,0.8,-5,-1.2,-11,-2.7,-3,-0.7,474375,9.1,997,0.3,-287,-7.2,108,10.9
1003,1,1023,73,0,2020,4,,1,7,7,8,132300,0,0,1388,,2.02,1.1,1.08,1.22,0.95,0,0,0.84,,0,0,0,0,0,0,1,14.3,-6758,-4.9,0,0,0,0,-140,-9.2
1003,3,1023,73,0,2020,4,,3,17,17,17,228786,0,0,1035,,2.44,0.75,0.73,0.73,0.96,0,0,1.3,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,5,1023,73,0,2020,4,,936,4004,3990,3988,61767291,2810278,43184,1190,,1.52,0.94,0.93,0.92,0.78,0.8,1.09,0.84,,53,6,1,0,48,1.2,26,0.7,7590887,14,117785,4.4,7143,19.8,140,13.3
1005,3,1023,73,0,2020,4,N,2,0,0,0,0,0,0,0,N,19.47,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
